msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20170114,20170213,0
+19pK2MbFfs5+S94XPEgMmE76cmHGFruBgguswLEA0I=,38,30,149,149,0,20170228,20170330,0
+4PeZLV+aPe1i7YlRfhLpnM3qC4R4IxCdtM6mZmNQeY=,38,7,0,0,0,20160609,20160616,0
+54/eZEe9Nd1lbdTwdpUEVERW9Kk7fid8ekOKYIh/08=,39,30,149,149,1,20161012,20161111,0
+54/eZEe9Nd1lbdTwdpUEVERW9Kk7fid8ekOKYIh/08=,39,30,149,149,1,20161031,20161211,0
+54/eZEe9Nd1lbdTwdpUEVERW9Kk7fid8ekOKYIh/08=,39,30,149,149,1,20161130,20170111,0
+54/eZEe9Nd1lbdTwdpUEVERW9Kk7fid8ekOKYIh/08=,39,30,149,149,1,20161231,20170211,0
+54/eZEe9Nd1lbdTwdpUEVERW9Kk7fid8ekOKYIh/08=,39,30,149,149,1,20170131,20170311,0
+54/eZEe9Nd1lbdTwdpUEVERW9Kk7fid8ekOKYIh/08=,39,30,149,149,1,20170228,20170411,0
+54/eZEe9Nd1lbdTwdpUEVERW9Kk7fid8ekOKYIh/08=,39,30,149,149,1,20170331,20170511,0
+5u/a0As1/sMBLvZld0zguSCoqHxVJSdMddmDvi1hTQ=,35,7,0,0,0,20161126,20161203,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20160130,20160229,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20160731,20160831,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20160831,20160930,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20160930,20161031,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20161031,20161130,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20161130,20161231,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20161231,20170131,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20170131,20170228,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20170228,20170331,0
+8V2zGPf2FOI5sNRzGR0GaoBSnzaPToAHJNWjlbI6BU=,41,30,99,99,1,20170331,20170430,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20160710,20160809,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20160811,20160910,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20160911,20161010,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20161011,20161110,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20161111,20161210,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20161211,20170110,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20170111,20170210,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20170211,20170310,0
+91bKc7dFxrbgpKcfO5eR9q9iExTHJV2gTgey8R558s=,36,30,180,180,1,20170311,20170410,0
+BujKWh56TqLSAVt2TfpILo99+1fOD0S3DayYJHNKtM=,38,30,149,149,0,20160904,20161004,0
+D5PQBJ/QjQhVkBK5dij5GmxVBPKUXmVuOYBuQvcjtQ=,35,7,0,0,0,20150614,20150615,0
+HP44sMxy9UHaP3uGxLmG+lIxIYybObhW1MM+OFRhMM=,38,0,0,1788,0,20150511,20160624,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20160505,20160604,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20160604,20160704,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20160704,20160804,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20160804,20160904,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20160904,20161004,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20161004,20161104,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20161104,20161204,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20161204,20170104,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20170104,20170204,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20170204,20170304,0
+JTP6kAfW1kCN228Yg7AjvtGFkfi16yEIownPkAc1TA=,41,30,129,129,1,20170304,20170404,0
+MUoiK++RoxWS99hQIDffo7XlxLTwpsBXlwS6pR5mS4=,38,30,149,149,0,20160109,20160208,0
+NERrdA6Ngr5iX729GvaBIfwUHkNdfVgpnmKtkzrLW0=,35,7,0,0,0,20161022,20161029,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20160519,20160618,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20160618,20160718,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20160718,20160818,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20160818,20160918,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20160918,20161018,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20161018,20161118,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20161118,20161218,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20161218,20170118,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20170118,20170218,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20170218,20170318,0
+O1xOK3rrtcyQJHPKaDHvs9hLYSg5aNULO5SzlMplUw=,41,30,99,99,1,20170318,20170418,0
+RDKP148KJIHUdUpQIOyymrJZZdzPSvFz6oOxLma3So=,41,30,149,0,1,20151003,20151103,0
+RDKP148KJIHUdUpQIOyymrJZZdzPSvFz6oOxLma3So=,41,30,149,0,1,20151101,20151101,1
+SlfOEnkkub/P1/XFSjbiBjHT2CdJwy3B5Am5mZxF+Y=,35,7,0,0,0,20161030,20161106,0
+WOmffH3TDzUua/wjk/UUMeTOK8qjS4Jx+l0OBZJxso=,38,30,149,149,0,20151120,20151220,0
+WOmffH3TDzUua/wjk/UUMeTOK8qjS4Jx+l0OBZJxso=,38,30,149,149,0,20151225,20160124,0
+WOmffH3TDzUua/wjk/UUMeTOK8qjS4Jx+l0OBZJxso=,38,30,149,149,0,20160201,20160302,0
+WOmffH3TDzUua/wjk/UUMeTOK8qjS4Jx+l0OBZJxso=,38,30,149,149,0,20160714,20160813,0
+WmtFoFJ1DKtLErzPdZoPStGvxhrHV6ljpetam103yg=,35,7,0,0,0,20161122,20161129,0
+YgVY4LDbteJ+5gc2CrgnSydQEe3P4cKz4dV3seqfrM=,38,30,149,149,0,20161206,20170108,0
+YgVY4LDbteJ+5gc2CrgnSydQEe3P4cKz4dV3seqfrM=,38,30,149,149,0,20170110,20170209,0
+YgVY4LDbteJ+5gc2CrgnSydQEe3P4cKz4dV3seqfrM=,38,30,149,149,0,20170210,20170312,0
+YgVY4LDbteJ+5gc2CrgnSydQEe3P4cKz4dV3seqfrM=,38,30,149,149,0,20170319,20170418,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20160614,20160713,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20160714,20160813,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20160814,20160913,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20160914,20161013,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20161014,20161113,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20161114,20161213,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20161214,20170113,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20170114,20170213,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20170214,20170313,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20170314,20170413,0
+YotD91g1T03aUkz6w15B+3z7xAMBcfumLChGQpqaEc=,37,30,149,149,1,20170322,20170413,1
+Zz66m0kB7h5zvPX5U7UUH2oX6Y4b9TKmGIeYcbst58=,41,30,149,0,1,20150907,20151007,0
+Zz66m0kB7h5zvPX5U7UUH2oX6Y4b9TKmGIeYcbst58=,41,30,149,0,1,20151005,20151007,1
+cLiKJowSfmC/v4fqTQsmOm7Lgz161XU5eiLlWMN2tg=,41,30,149,0,1,20160514,20160614,0
+cLiKJowSfmC/v4fqTQsmOm7Lgz161XU5eiLlWMN2tg=,41,30,149,0,1,20160614,20160614,1
+cLiKJowSfmC/v4fqTQsmOm7Lgz161XU5eiLlWMN2tg=,41,30,129,129,1,20161106,20161205,0
+cLiKJowSfmC/v4fqTQsmOm7Lgz161XU5eiLlWMN2tg=,41,30,129,129,1,20170105,20170205,0
+cLiKJowSfmC/v4fqTQsmOm7Lgz161XU5eiLlWMN2tg=,41,30,129,129,1,20170205,20170305,0
+cLiKJowSfmC/v4fqTQsmOm7Lgz161XU5eiLlWMN2tg=,41,30,129,129,1,20170305,20170405,0
+d+on5deZYbksYPzjTOCDK+dua7eBWvjyWjOLwkSOWg=,38,30,149,149,0,20160522,20160621,0
+d+on5deZYbksYPzjTOCDK+dua7eBWvjyWjOLwkSOWg=,38,30,149,149,0,20160612,20160721,0
+d+on5deZYbksYPzjTOCDK+dua7eBWvjyWjOLwkSOWg=,38,30,149,149,0,20170207,20170309,0
+dcCVDQi3K14KfOFdKMWhwL+KlQ03q10XCOOCcLcBqo=,38,30,149,149,0,20160711,20160811,0
+dcCVDQi3K14KfOFdKMWhwL+KlQ03q10XCOOCcLcBqo=,38,30,149,149,0,20160812,20160911,0
+dcCVDQi3K14KfOFdKMWhwL+KlQ03q10XCOOCcLcBqo=,38,30,149,149,0,20160911,20161011,0
+eB3B42hpONio08bOd+EQ/6NcI4GmDnfUFi39MGDQMs=,35,7,0,0,0,20160903,20160908,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20150827,20150926,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,35,7,0,0,0,20150827,20151006,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20151013,20151112,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20151120,20151220,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20151222,20160121,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20160130,20160229,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20160304,20160403,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20160407,20160507,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20160511,20160610,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,38,30,149,149,0,20160616,20160716,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20160729,20160828,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20160829,20160928,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20161002,20161101,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20161102,20161202,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20161203,20170102,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20170103,20170202,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20170203,20170305,0
+iPmNqp11Pt6dKgcDtgKI8O9cJEv5Cs3yNnY7SWH9S4=,29,30,180,180,0,20170306,20170405,0
+kvXVTGRAYJA2pVfhaZA8eEc6EQvD5FBTVonAQOjYgA=,35,7,0,0,0,20161022,20161029,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20151013,20151112,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20151102,20151212,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20151202,20160112,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20160131,20160312,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20160731,20160912,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20160831,20161012,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20160930,20161112,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20161031,20161212,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20161130,20170112,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20161231,20170212,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20170131,20170312,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20170228,20170412,0
+qqAiJ/NqqKyMKBi2F1zxKkCKT80q7NZRLjD3dClivY=,39,30,149,149,1,20170331,20170512,0
+t8GwyBagerqbPTILssgQwATj79zb+KxKpBe0rMoTP4=,41,30,149,0,1,20151216,20160116,0
+t8GwyBagerqbPTILssgQwATj79zb+KxKpBe0rMoTP4=,41,30,149,0,1,20160112,20160112,1
+uXAQjAYBs/FRgVvMSBREtyO+ywfy902IG7D2JJb+qo=,35,7,0,0,0,20150614,20150615,0
+uacjwXvsdIU8LGzJlOKBxXcny1czvUqLWw1vRu2Trg=,41,30,99,99,1,20161127,20161226,0
+uacjwXvsdIU8LGzJlOKBxXcny1czvUqLWw1vRu2Trg=,41,30,99,99,1,20161226,20170126,0
+uacjwXvsdIU8LGzJlOKBxXcny1czvUqLWw1vRu2Trg=,41,30,99,99,1,20170126,20170226,0
+uacjwXvsdIU8LGzJlOKBxXcny1czvUqLWw1vRu2Trg=,41,30,99,99,1,20170226,20170326,0
+uacjwXvsdIU8LGzJlOKBxXcny1czvUqLWw1vRu2Trg=,41,30,99,99,1,20170326,20170426,0
+urWUbiR8T3aFx2vy3GIyRMeFpWy016tT94mg40oCck=,36,30,180,180,1,20170122,20170221,0
+urWUbiR8T3aFx2vy3GIyRMeFpWy016tT94mg40oCck=,36,30,180,180,1,20170223,20170322,0
+urWUbiR8T3aFx2vy3GIyRMeFpWy016tT94mg40oCck=,36,30,180,180,1,20170323,20170422,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20150812,20150912,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20150912,20151012,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20151012,20151112,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20151112,20151212,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20151212,20160112,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160112,20160212,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160212,20160312,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160312,20160412,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160412,20160512,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160512,20160612,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160612,20160712,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160712,20160812,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160812,20160912,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20160912,20161012,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20161012,20161112,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20161112,20161212,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20161212,20170112,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20170112,20170212,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20170212,20170312,0
+wrELLArzi6Qjp5AKd1vxJ5yPeZfqoF8vNb6f0Re0to=,41,30,99,99,1,20170312,20170412,0
+xQVQ4qFkuEXYrnthqHtgN5/le80HqfBxj/KKkylX0w=,41,30,99,99,1,20161110,20161209,0
+xQVQ4qFkuEXYrnthqHtgN5/le80HqfBxj/KKkylX0w=,41,30,99,99,1,20161209,20170109,0
+xQVQ4qFkuEXYrnthqHtgN5/le80HqfBxj/KKkylX0w=,41,30,99,99,1,20170109,20170209,0
+xQVQ4qFkuEXYrnthqHtgN5/le80HqfBxj/KKkylX0w=,41,30,99,99,1,20170209,20170309,0
+xQVQ4qFkuEXYrnthqHtgN5/le80HqfBxj/KKkylX0w=,41,30,99,99,1,20170309,20170409,0
/1YdHEq8Ypix/j754PxwfJYAQiMEjcGyrQlbkl2+DMU=,29,30,180,180,0,20161201,20161231,0
/3YEKGb2ZdIXxdl2PjOGG7zfN5uf6tImtRZXKxfqAHI=,38,30,149,149,0,20151126,20151226,0
/3YEKGb2ZdIXxdl2PjOGG7zfN5uf6tImtRZXKxfqAHI=,38,30,149,149,0,20160128,20160227,0
/3YEKGb2ZdIXxdl2PjOGG7zfN5uf6tImtRZXKxfqAHI=,38,30,149,149,0,20160618,20160718,0
/3YEKGb2ZdIXxdl2PjOGG7zfN5uf6tImtRZXKxfqAHI=,38,30,149,149,0,20160824,20160923,0
/5Mj/LWjUI+kBPnQqSyzKQ8u/mZaAG+BTZhhKENCydk=,41,30,100,100,1,20170216,20170315,0
/5Mj/LWjUI+kBPnQqSyzKQ8u/mZaAG+BTZhhKENCydk=,41,30,100,100,1,20170315,20170415,0
/65de5xLgcgKlhvBN2+vqAyfWb4lAWRuD5RCptt7P+g=,35,7,0,0,0,20150603,20150615,0
/65de5xLgcgKlhvBN2+vqAyfWb4lAWRuD5RCptt7P+g=,38,410,1788,1788,0,20150604,20160729,0
/65de5xLgcgKlhvBN2+vqAyfWb4lAWRuD5RCptt7P+g=,38,410,1788,1788,0,20160803,20170917,0
/8fxh6sSFUI7yICmkepGGBjNwbjYLd66OlN53xWBqn0=,36,30,180,180,0,20160720,20160819,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20160608,20160710,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20160708,20160810,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20160808,20160910,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20160908,20161010,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20161008,20161110,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20161108,20161210,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20161208,20170110,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20170108,20170210,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20170208,20170310,0
/9O54KgeX5FqkjAoiQi6JSuG1ewRDo8Z9XA779cZzdE=,40,30,149,149,1,20170308,20170410,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20160819,20160918,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20160918,20161018,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20161018,20161118,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20161118,20161218,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20161218,20170118,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20170118,20170218,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20170218,20170318,0
/CTOduV2pOo5bGOi+y4a+/aLf4k5y7wjLJrI78KuNQQ=,41,30,99,99,1,20170318,20170418,0
/D/FeSk0XR4kwvnhOU0f+xpEpCfRRcBGF2YzoBYub1M=,36,30,180,180,1,20160928,20161027,0
/D/FeSk0XR4kwvnhOU0f+xpEpCfRRcBGF2YzoBYub1M=,36,30,180,180,1,20161029,20161130,0
/D/FeSk0XR4kwvnhOU0f+xpEpCfRRcBGF2YzoBYub1M=,36,30,180,180,1,20161129,20170102,0
/D/FeSk0XR4kwvnhOU0f+xpEpCfRRcBGF2YzoBYub1M=,36,30,180,180,1,20161229,20170102,1
/D/FeSk0XR4kwvnhOU0f+xpEpCfRRcBGF2YzoBYub1M=,40,30,149,149,1,20161229,20170205,0
/D/FeSk0XR4kwvnhOU0f+xpEpCfRRcBGF2YzoBYub1M=,40,30,149,149,1,20170201,20170305,0
/D/FeSk0XR4kwvnhOU0f+xpEpCfRRcBGF2YzoBYub1M=,40,30,149,149,1,20170301,20170405,0
/D6hLs6uEmdRRsozvakVDzrYwYhfhhHMXQc21m5lHcg=,38,410,1788,1788,0,20160219,20170428,0
/EPnzdIsbRbviz7MAkXpuvGk/AsIeb8lA/f8AMpCCmI=,36,30,180,180,1,20160921,20161023,0
/EPnzdIsbRbviz7MAkXpuvGk/AsIeb8lA/f8AMpCCmI=,36,30,180,180,1,20161022,20161123,0
/EPnzdIsbRbviz7MAkXpuvGk/AsIeb8lA/f8AMpCCmI=,36,30,180,180,1,20161122,20161223,0
/EPnzdIsbRbviz7MAkXpuvGk/AsIeb8lA/f8AMpCCmI=,36,30,180,180,1,20161222,20170123,0
/EPnzdIsbRbviz7MAkXpuvGk/AsIeb8lA/f8AMpCCmI=,36,30,180,180,1,20170122,20170223,0
